
Library     Flags   Function
=======================================================================
[000000] ADVAPI32.DLL
   [0000] [I...] AccessCheck
   [0001] [I...] AddAccessAllowedAce
   [0002] [I...] AllocateAndInitializeSid
   [0003] [I...] DuplicateToken
   [0004] [.D.F] EventEnabled
   [0005] [.D.F] EventRegister
   [0006] [.D.F] EventUnregister
   [0007] [.D.F] EventWrite
   [0008] [I...] FreeSid
   [0009] [I...] GetFileSecurityW
   [0010] [I...] GetLengthSid
   [0011] [I...] InitializeAcl
   [0012] [I...] InitializeSecurityDescriptor
   [0013] [I...] IsValidSecurityDescriptor
   [0014] [I...] OpenProcessToken
   [0015] [I...] OpenThreadToken
   [0016] [I...] RegCloseKey
   [0017] [I...] RegCreateKeyExW
   [0018] [I...] RegCreateKeyW
   [0019] [I...] RegDeleteKeyW
   [0020] [I...] RegDeleteValueW
   [0021] [I...] RegEnumKeyW
   [0022] [I...] RegEnumValueW
   [0023] [I...] RegOpenKeyExW
   [0024] [I...] RegOpenKeyW
   [0025] [I...] RegQueryValueExW
   [0026] [I...] RegQueryValueW
   [0027] [I...] RegSetValueExW
   [0028] [I...] RegSetValueW
   [0029] [I...] SetFileSecurityW
   [0030] [I...] SetSecurityDescriptorDacl
   [0031] [I...] SetSecurityDescriptorGroup
   [0032] [I...] SetSecurityDescriptorOwner

[000001] APPHELP.DLL
   [0000] [.D..] ApphelpCheckIME

[000002] COMCTL32.DLL
   [0000] [.DO.] 328
   [0001] [.DO.] 332
   [0002] [.DO.] DPA_InsertPtr
   [0003] [.DO.] DSA_Create
   [0004] [.DO.] DSA_DestroyCallback
   [0005] [.DO.] DSA_GetItemPtr
   [0006] [.DO.] DSA_InsertItem
   [0007] [I...] ImageList_AddMasked
   [0008] [I...] ImageList_Create
   [0009] [I...] ImageList_Destroy
   [0010] [I...] ImageList_Draw
   [0011] [I...] ImageList_LoadImageW
   [0012] [I.O.] InitCommonControls
   [0013] [.D..] InitCommonControlsEx
   [0014] [.D..] RegisterClassNameW
   [0015] [.DO.] Str_SetPtrW

[000003] COMDLG32.DLL
   [0000] [I...] ChooseColorW
   [0001] [I...] CommDlgExtendedError
   [0002] [I...] GetFileTitleW
   [0003] [I...] GetOpenFileNameW
   [0004] [I...] GetSaveFileNameW
   [0005] [I...] PrintDlgW

[000004] GDI32.DLL
